salary,work,ot,credit
650,35,15,0
650,30,70,0
650,29.5,39,0
650,29,18,0
650,29,5,0
650,28,35,0
650,27,60,0
650,26.5,2,0
650,24,19,0
650,23.5,6,0
400,45,30,20000
400,39.5,19,4000
400,38,49,11000
400,33.5,38,9000
400,29,33,7000
400,28,37,9000
400,16,12,9190
400,13.5,6,10000
400,10.5,11,9280
400,6.5,1,0
400,5.5,2,2000
390,36.5,25,9000
390,35,14,15492
390,33.5,18,7000
390,33,11,19000
390,31.5,27,9000
390,30,17,10100
390,26,7,15000
390,26,1,3000
390,25.5,9,12000
390,23.5,11,14500
390,0,0,0
370,41.5,26,12000
370,37,15,8300
370,36,20,6000
370,31.5,35,400
370,30,84,0
370,29.5,16,3000
370,29.5,9,10290
370,29,78,9000
370,27.5,7,4000
370,23,18,6500
370,22,4,11000
370,18.5,15,9000
370,11.5,14,8520
360,44.5,31.5,8000
360,44,38.5,5160
360,42.5,44.5,4360
360,42,24.5,3600
360,40.5,55,3000
360,40.5,27,3400
360,39,50,130
360,38,31,0
360,37.5,33,5720
360,37,37,4200
360,36,25,0
360,35.5,30,4000
360,35.5,11,8000
360,34.5,33,5000
360,30.5,34,2290
360,30.5,21,4225
360,30,38,260
360,30,38,5820
360,30,20,6290
360,29,30,7400
360,29,9,5000
360,28.5,33,10100
360,28,0,7000
360,27,20.5,0
360,26,0,0
360,25,9,12000
360,24.5,27,7500
360,24.5,27,2900
360,24,24,5000
360,23,19,500
360,22,7,0
360,21.5,18,2290
360,21,21,4225
360,20.5,25,1190
360,18,14,4000
360,14.5,1,5000
360,14,17,2290
360,13.5,8,3190
360,10,15,2500
360,9,1,5000
360,7,1,5000
360,5,0,5190
360,3.5,0,1000
360,0.5,0,2200
360,0,0,9000
350,49,29,13700
350,44,2,4000
350,39.5,15,13000
350,35,30,6130
350,35,15,2000
350,35,2,7520
350,34.5,20,4000
350,34.5,16,13000
350,34,12,2000
350,33.5,18,9000
350,33,0,7000
350,32,34,8095
350,31,7,2000
350,30,12,7000
350,29.5,15,13500
350,29.5,12,7000
350,29.5,10,9500
350,29.5,1,3000
350,29,0,2300
350,28.5,16,5000
350,28,0,1800
350,27.5,10,6000
350,26.5,13,11000
350,23.5,5,4500
350,23,11,7500
350,22.5,10,5500
350,22.5,0,8000
350,22.5,0,2000
350,22.5,0,4500
350,18,11,1000
350,16,2,11000
350,14.5,6,3500
350,13,2,1000
350,13,1,12000
350,9,0,7000
350,7,2,7500
350,6.5,2,7420
350,4,0,1000
350,2,2,4200
345,39.5,22,0
345,37,34,1000
345,36.5,36,2000
345,34.5,14,2000
345,30,27,2490
345,28.5,65,2200
345,27.5,30,5130
345,26,22,2000
340,50,25,13200
340,48,23,13200
340,47,24,12700
340,46,28,13100
340,43.5,47,3300
340,42.5,41,3000
340,42.5,30,0
340,40.5,44,3195
340,39.5,17,6300
340,39,19,7000
340,38.5,24,0
340,38,28,4000
340,37.5,29,0
340,37.5,22,6600
340,37,35,2000
340,37,32,6000
340,37,22,0
340,36.5,45,7000
340,36.5,22,4500
340,36,25,5200
340,36,24,560
340,36,17,3000
340,35.5,31,195
340,35.5,28,20000
340,35.5,21,6000
340,34.5,29,0
340,34,31,7700
340,34,23,6200
340,33.5,42,4485
340,33.5,7.5,8000
340,33,25,8000
340,32.5,28,1000
340,32.5,24,13000
340,32,38,4920
340,32,25,2500
340,32,23,5160
340,32,22.5,2000
340,31.5,33,9080
340,31.5,27,0
340,31.5,26,7390
340,31.5,22,0
340,31.5,21,3000
340,31.5,19,6290
340,31,24,5320
340,31,18.5,1000
340,31,17,3620
340,31,13,5000
340,30.5,22,12000
340,30.5,14,9400
340,30,31,10225
340,30,17,1000
340,29.5,1,3000
340,29,33,4400
340,29,9,8200
340,29,7,2500
340,28.5,35,5260
340,28.5,10,4000
340,28,65,3500
340,28,24,7600
340,28,18,1500
340,28,7,0
340,27.5,28,6290
340,27.5,17.5,15200
340,27.5,17,1000
340,27,31,5000
340,27,7,4000
340,27,5,3000
340,26.5,13,5000
340,26.5,9,2660
340,26,6,3000
340,25.5,24,6000
340,25.5,22,2600
340,25.5,22,3000
340,25.5,17,0
340,25.5,10,7000
340,25,23,1000
340,25,22,500
340,25,22,2000
340,25,22,2000
340,25,22,2000
340,25,22,2000
340,25,18,6195
340,25,10.5,12000
340,25,8,5000
340,24.5,22,2500
340,24.5,14,5300
340,24,9.5,3500
340,23.5,24,4190
340,23.5,7,6000
340,23,25,2000
340,23,10,8500
340,21.5,18,5320
340,21,9.5,8000
340,21,6,9200
340,20.5,13,3000
340,20.5,13,7025
340,20,15,5320
340,19.5,3,6000
340,19,51,6000
340,18.5,13,4000
340,18,9,0
340,18,3.5,5000
340,17,6,6780
340,17,5,3390
340,15.5,6,7000
340,14,4.5,5000
340,13,6,200
340,12.5,6,2420
340,12,4,5330
340,11.5,2,11657
340,11.5,0,3200
340,10,6,11280
340,9,17,4595
340,8.5,5,5000
340,7.5,3,4650
340,6.5,3,4000
340,6,1,21000
340,5.5,2,13300
340,3,1,6000
340,2.5,0,6000
340,2,0,600
330,67,0,12500
330,61.5,9,9130
330,45.5,23,10000
330,40,20,12000
330,33.5,25,3000
330,33.5,24,6000
330,33,21,14000
330,32.5,23,8000
330,32.5,18,7000
330,32,32,2000
330,32,11,4800
330,31.5,53,3000
330,31.5,27,500
330,31,43,2000
330,30.5,14.5,6750
330,30,46,1500
330,30,25,1000
330,30,17,6200
330,30,0,2000
330,29.5,32,7930
330,29,75,8000
330,29,74,2200
330,29,74,2700
330,29,35,2500
330,29,33,4000
330,29,3,4000
330,29,2,5000
330,28.5,63,6200
330,28,50,1500
330,28,49,6500
330,28,37,6500
330,28,22,2300
330,27.5,8,10000
330,27,48,3000
330,27,29,4190
330,26.5,74,5260
330,26.5,41,5190
330,26.5,8,6500
330,26,15,4800
330,26,15,7000
330,25.5,19,2085
330,25.5,8,8700
330,25,10,2000
330,25,7,8200
330,24,15,12430
330,24,10,8800
330,24,3,0
330,22,12,4500
330,22,10,1000
330,21,58,8000
330,21,11,4300
330,21,5,4300
330,20.5,11.5,5240
330,20.5,2,5000
330,18.5,18,2300
330,18,11,2000
330,16,24,1500
330,13.5,0,5570
330,12.5,1,5000
330,11,14,5600
330,9,1,8650
330,8,17,7000
330,5,2,1500
330,4,3,1000
330,2.5,1,7000
330,2.5,0,9000
330,2,0,3095
330,1.5,2,5000
330,1,0,7000
330,0,0,2000
330,0,0,5600
320,45,72,0
320,43.5,35,0
320,37,28,5000
320,35,24,3000
320,35,15,7000
320,35,15,2000
320,35,12,1500
320,34,26,0
320,34,25,4000
320,34,15,500
320,33,0,5500
320,32.52,3,11000
320,32.5,27,0
320,32.5,25,390
320,32.5,18,4000
320,32.5,18,3000
320,32,18,2000
320,32,18,4000
320,31.5,28,0
320,31.5,23,500
320,31.5,13,6300
320,31.5,0,3000
320,31,27,0
320,31,8,2800
320,30.5,16,3300
320,30,43,1500
320,30,22,10000
320,30,11,6500
320,29.5,21,3500
320,29.5,12,4000
320,29,31,2000
320,29,30,500
320,29,30,5000
320,29,17,4000
320,29,15,1000
320,29,11,5000
320,28.5,29,3000
320,28.5,8,2000
320,28,18,5240
320,28,17,4000
320,28,9,5000
320,28,8.5,4000
320,28,3,4000
320,28,2,1000
320,27,14.5,3330
320,25,1,4000
320,24.5,11,9000
320,24,24,0
320,24,24,0
320,23.5,23,300
320,23.5,11,2500
320,23.5,8,3500
320,23,23,8000
320,23,18,6130
320,23,10,10300
320,23,9,12000
320,23,0,5000
320,22,10,9000
320,21.5,10,4000
320,21.5,3,5000
320,20.5,9,1000
320,20.5,9,1000
320,20.5,8,3650
320,20.5,8,9900
320,20.5,3,5100
320,20,20,0
320,19.5,12,2830
320,18,8,8000
320,18,2,4500
320,15.5,6,2500
320,14.5,6,1000
320,11,0,0
320,10.5,0,6800
320,9.5,8,9000
320,9,1,6000
320,7.5,10,5150
320,7.5,1,3500
320,5.5,1,1000
320,4,1,7000
320,0,0,2000
310,38,12,2400
310,37.5,14,600
310,36.5,18,1000
310,34.5,10,3000
310,33.5,24,6000
310,30,11,1000
310,24.5,11,2000
310,24,24,0
310,23.5,11,3000
310,23,2,12500
310,15.5,15,6000
310,15,5,7000
310,14,6,3500
310,12.5,5,8150
310,11,11,0
310,11,1,5260
310,10.5,11,2000
310,10.5,5,8260
310,9,2,2000
310,9,1,3000
310,9,0,1500
310,8,0,2000
310,2.5,0,0
310,0,0,0
300,34.5,16,0
300,29,9,400
300,28,28,3000
300,27.5,15,1500
300,26.5,7,300
300,24.5,23,0
300,24.5,14,5300
300,24.5,0,1000
300,23,7,2000
300,14.5,4,5000
300,11,17,2000
300,11,0,500
300,7.5,2,8000
300,5,4,5445
300,2.5,0,0
300,0,0,10000
300,0,0,7130
300,0,0,4150
290,43,31,3000
290,42.5,33,0
290,42.5,25,6200
290,40.5,36,4000
290,40.5,19,8000
290,40,40,2000
290,40,36,2000
290,40,36,1000
290,39.5,28,0
290,39.5,22,3000
290,38.5,26,2000
290,38.5,26,2500
290,38.5,25,2000
290,38.5,25,3000
290,38,19,2000
290,37.5,38,0
290,37.5,19,6000
290,36.5,23,3000
290,36,7,2000
290,35,18,6000
290,35,15,0
290,34.5,14,0
290,34.5,13,8000
290,34,0,1000
290,34,0,3000
290,33.5,30,1300
290,32.5,26,50
290,32.5,0,4500
290,31.5,17,4300
290,31.5,13,8000
290,31,31,6260
290,30.5,0,0
290,30,69,0
290,30,16,2000
290,30,15,2500
290,30,13,4000
290,29.5,20,0
290,29.5,9,2450
290,29.5,7,6000
290,29,65,0
290,28.5,46,300
290,28.5,6,2000
290,27,49,0
290,26.5,74,3000
290,24.5,11,0
290,24.5,11,0
290,24,20,0
290,24,8,7000
290,23,21,2095
290,22.5,11,5000
290,22.5,1,9000
290,21.5,1,13000
290,20.5,56,0
290,20.5,18,4190
290,19,10,0
290,15,17,3000
290,14.5,1,0
290,14,1,1500
290,14,1,2000
290,13,2,0
290,12.5,6,6400
290,11,10,2300
290,9,0,0
290,7,10,2000
290,6,7,2000
290,5,7,0
290,5,5,0
290,4.5,7,0
290,4.5,5,0
290,4.5,0,0
290,4,0,0
290,3.5,0,2000
290,3,2,0
290,3,0,0
290,2.5,2,0
290,2.5,2,0
290,2.5,2,0
290,2.5,0,0
290,2.5,0,0
290,2,2,0
290,2,2,0
290,2,2,6000
290,2,0,0
290,2,0,0
290,1.5,0,0
290,0,0,0
290,0,0,5000
290,0,0,2000
290,0,0,5630
290,0,0,2000
290,0,0,0
290,0,0,0
290,0,0,3390
290,0,0,1000
280,36.5,24,3000
280,35,26,0
280,35,26,0
280,35,25,500
280,34.5,24,1000
280,34,26,0
280,32.5,26,0
280,32.5,16,3200
280,31,7,3500
280,31,6,3200
280,31,4,0
280,30.5,18,0
280,30.5,9,4200
280,29.5,9.5,2000
280,29,4,0
280,28.5,2,0
280,28,3,0
280,25,11,300
280,22.5,3,2000
280,22.5,2.5,2100
280,21,8,300
280,21,8,0
280,21,3,0
280,20.5,15,150
280,20.5,1,300
280,20,7,4000
280,19.5,0,3000
280,19.5,0,5000
280,19,8,0
280,19,3,3500
280,18.5,4,3000
280,14.5,5,1500
280,12.5,1,1000
280,12,1,4500
280,12,1,4000
280,12,1,2300
280,11.5,1,2000
280,11,5,2500
280,10.5,1,1500
280,10,1,3500
280,10,1,6000
280,7.5,0,0
280,6.5,1,0
280,6,0,0
280,6,0,4000
280,6,0,5000
280,5,4,5000
280,5,0,0
280,5,0,6000
280,4,0,0
280,4,0,0
280,4,0,0
280,4,0,1000
280,4,0,3300
280,3.5,0,2150
280,1.5,1,6650
280,0,0,0
280,0,0,1500
280,0,0,7500
270,34.5,25,0
270,33.5,25,5000
270,31.5,18,0
270,31.5,18,2000
270,31,10.5,3300
270,30.5,11,2000
270,27.5,18,5000
270,27.5,5.5,6500
270,25,14,1500
270,23,9.5,3100
270,23,0,2500
270,22,22,0
270,21,8.5,2190
270,20,15,1500
270,16,11,2330
270,8,6,5000
270,7.5,0,0
270,4,0,2000
